antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'petal_length_低'}),frozenset({'petal_width_低'}),0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,3.0,1.0,0.2222222222222222,inf,0.9999999999999999,1.0,1.0,1.0
"frozenset({'sepal_width_中', 'Iris-setosa'})","frozenset({'sepal_length_低', 'petal_width_低'})",0.10666666666666667,0.3,0.10666666666666667,1.0,3.3333333333333335,1.0,0.07466666666666667,inf,0.7835820895522388,0.35555555555555557,1.0,0.6777777777777778
"frozenset({'sepal_length_低', 'Iris-setosa', 'sepal_width_中'})",frozenset({'petal_width_低'}),0.10666666666666667,0.3333333333333333,0.10666666666666667,1.0,3.0,1.0,0.07111111111111112,inf,0.746268656716418,0.32000000000000006,1.0,0.66
"frozenset({'petal_width_中', 'petal_length_中', 'sepal_length_中'})",frozenset({'Iris-versicolor'}),0.20666666666666667,0.3333333333333333,0.20666666666666667,1.0,3.0,1.0,0.13777777777777778,inf,0.8403361344537815,0.6199999999999999,1.0,0.81
"frozenset({'sepal_width_中', 'Iris-setosa', 'petal_width_低'})",frozenset({'sepal_length_低'}),0.10666666666666667,0.3466666666666667,0.10666666666666667,1.0,2.8846153846153846,1.0,0.06968888888888888,inf,0.7313432835820894,0.3076923076923077,1.0,0.6538461538461539
"frozenset({'sepal_width_中', 'sepal_length_低', 'petal_width_低'})",frozenset({'Iris-setosa'}),0.10666666666666667,0.3333333333333333,0.10666666666666667,1.0,3.0,1.0,0.07111111111111112,inf,0.746268656716418,0.32000000000000006,1.0,0.66
"frozenset({'sepal_length_高', 'Iris-virginica'})",frozenset({'petal_length_高'}),0.20666666666666667,0.30666666666666664,0.20666666666666667,1.0,3.2608695652173916,1.0,0.1432888888888889,inf,0.8739495798319329,0.6739130434782609,1.0,0.8369565217391304
"frozenset({'sepal_width_中', 'petal_length_低'})",frozenset({'sepal_length_低'}),0.10666666666666667,0.3466666666666667,0.10666666666666667,1.0,2.8846153846153846,1.0,0.06968888888888888,inf,0.7313432835820894,0.3076923076923077,1.0,0.6538461538461539
"frozenset({'sepal_width_中', 'petal_width_低'})",frozenset({'sepal_length_低'}),0.10666666666666667,0.3466666666666667,0.10666666666666667,1.0,2.8846153846153846,1.0,0.06968888888888888,inf,0.7313432835820894,0.3076923076923077,1.0,0.6538461538461539
"frozenset({'sepal_length_高', 'petal_width_高', 'Iris-virginica'})",frozenset({'petal_length_高'}),0.2,0.30666666666666664,0.2,1.0,3.2608695652173916,1.0,0.1386666666666667,inf,0.8666666666666666,0.6521739130434785,1.0,0.8260869565217392
"frozenset({'sepal_width_中', 'Iris-setosa'})",frozenset({'sepal_length_低'}),0.10666666666666667,0.3466666666666667,0.10666666666666667,1.0,2.8846153846153846,1.0,0.06968888888888888,inf,0.7313432835820894,0.3076923076923077,1.0,0.6538461538461539
"frozenset({'sepal_width_中', 'petal_length_低'})","frozenset({'sepal_length_低', 'petal_width_低'})",0.10666666666666667,0.3,0.10666666666666667,1.0,3.3333333333333335,1.0,0.07466666666666667,inf,0.7835820895522388,0.35555555555555557,1.0,0.6777777777777778
"frozenset({'sepal_width_中', 'petal_width_低'})","frozenset({'sepal_length_低', 'petal_length_低'})",0.10666666666666667,0.3,0.10666666666666667,1.0,3.3333333333333335,1.0,0.07466666666666667,inf,0.7835820895522388,0.35555555555555557,1.0,0.6777777777777778
"frozenset({'sepal_length_低', 'sepal_width_高'})",frozenset({'petal_length_低'}),0.18,0.3333333333333333,0.18,1.0,3.0,1.0,0.12,inf,0.8130081300813007,0.54,1.0,0.77
"frozenset({'sepal_length_低', 'petal_length_低', 'sepal_width_中'})",frozenset({'petal_width_低'}),0.10666666666666667,0.3333333333333333,0.10666666666666667,1.0,3.0,1.0,0.07111111111111112,inf,0.746268656716418,0.32000000000000006,1.0,0.66
"frozenset({'sepal_length_低', 'sepal_width_高'})",frozenset({'Iris-setosa'}),0.18,0.3333333333333333,0.18,1.0,3.0,1.0,0.12,inf,0.8130081300813007,0.54,1.0,0.77
"frozenset({'sepal_width_中', 'petal_length_低', 'petal_width_低'})",frozenset({'sepal_length_低'}),0.10666666666666667,0.3466666666666667,0.10666666666666667,1.0,2.8846153846153846,1.0,0.06968888888888888,inf,0.7313432835820894,0.3076923076923077,1.0,0.6538461538461539
"frozenset({'sepal_length_低', 'Iris-setosa', 'sepal_width_高'})",frozenset({'petal_length_低'}),0.18,0.3333333333333333,0.18,1.0,3.0,1.0,0.12,inf,0.8130081300813007,0.54,1.0,0.77
"frozenset({'sepal_length_低', 'petal_length_低', 'sepal_width_高'})",frozenset({'Iris-setosa'}),0.18,0.3333333333333333,0.18,1.0,3.0,1.0,0.12,inf,0.8130081300813007,0.54,1.0,0.77
"frozenset({'sepal_length_高', 'petal_width_高'})",frozenset({'petal_length_高'}),0.20666666666666667,0.30666666666666664,0.20666666666666667,1.0,3.2608695652173916,1.0,0.1432888888888889,inf,0.8739495798319329,0.6739130434782609,1.0,0.8369565217391304
"frozenset({'sepal_width_中', 'petal_length_低'})",frozenset({'petal_width_低'}),0.10666666666666667,0.3333333333333333,0.10666666666666667,1.0,3.0,1.0,0.07111111111111112,inf,0.746268656716418,0.32000000000000006,1.0,0.66
"frozenset({'sepal_width_中', 'Iris-setosa', 'petal_width_低'})",frozenset({'petal_length_低'}),0.10666666666666667,0.3333333333333333,0.10666666666666667,1.0,3.0,1.0,0.07111111111111112,inf,0.746268656716418,0.32000000000000006,1.0,0.66
"frozenset({'sepal_width_中', 'petal_width_低'})",frozenset({'petal_length_低'}),0.10666666666666667,0.3333333333333333,0.10666666666666667,1.0,3.0,1.0,0.07111111111111112,inf,0.746268656716418,0.32000000000000006,1.0,0.66
"frozenset({'Iris-setosa', 'sepal_width_高'})",frozenset({'petal_width_低'}),0.21333333333333335,0.3333333333333333,0.21333333333333335,1.0,3.0,1.0,0.14222222222222225,inf,0.8474576271186441,0.6400000000000002,1.0,0.8200000000000001
"frozenset({'petal_width_低', 'sepal_width_高'})",frozenset({'Iris-setosa'}),0.21333333333333335,0.3333333333333333,0.21333333333333335,1.0,3.0,1.0,0.14222222222222225,inf,0.8474576271186441,0.6400000000000002,1.0,0.8200000000000001
"frozenset({'sepal_width_中', 'petal_length_低'})","frozenset({'sepal_length_低', 'Iris-setosa'})",0.10666666666666667,0.3,0.10666666666666667,1.0,3.3333333333333335,1.0,0.07466666666666667,inf,0.7835820895522388,0.35555555555555557,1.0,0.6777777777777778
"frozenset({'Iris-setosa', 'petal_length_低', 'sepal_width_高'})",frozenset({'petal_width_低'}),0.21333333333333335,0.3333333333333333,0.21333333333333335,1.0,3.0,1.0,0.14222222222222225,inf,0.8474576271186441,0.6400000000000002,1.0,0.8200000000000001
"frozenset({'Iris-setosa', 'petal_width_低', 'sepal_width_高'})",frozenset({'petal_length_低'}),0.21333333333333335,0.3333333333333333,0.21333333333333335,1.0,3.0,1.0,0.14222222222222225,inf,0.8474576271186441,0.6400000000000002,1.0,0.8200000000000001
"frozenset({'petal_length_低', 'petal_width_低', 'sepal_width_高'})",frozenset({'Iris-setosa'}),0.21333333333333335,0.3333333333333333,0.21333333333333335,1.0,3.0,1.0,0.14222222222222225,inf,0.8474576271186441,0.6400000000000002,1.0,0.8200000000000001
"frozenset({'Iris-setosa', 'sepal_width_高'})","frozenset({'petal_length_低', 'petal_width_低'})",0.21333333333333335,0.3333333333333333,0.21333333333333335,1.0,3.0,1.0,0.14222222222222225,inf,0.8474576271186441,0.6400000000000002,1.0,0.8200000000000001
"frozenset({'petal_length_低', 'sepal_width_高'})","frozenset({'Iris-setosa', 'petal_width_低'})",0.21333333333333335,0.3333333333333333,0.21333333333333335,1.0,3.0,1.0,0.14222222222222225,inf,0.8474576271186441,0.6400000000000002,1.0,0.8200000000000001
"frozenset({'petal_width_低', 'sepal_width_高'})","frozenset({'Iris-setosa', 'petal_length_低'})",0.21333333333333335,0.3333333333333333,0.21333333333333335,1.0,3.0,1.0,0.14222222222222225,inf,0.8474576271186441,0.6400000000000002,1.0,0.8200000000000001
"frozenset({'sepal_width_中', 'Iris-setosa'})","frozenset({'sepal_length_低', 'petal_length_低'})",0.10666666666666667,0.3,0.10666666666666667,1.0,3.3333333333333335,1.0,0.07466666666666667,inf,0.7835820895522388,0.35555555555555557,1.0,0.6777777777777778
"frozenset({'petal_length_低', 'sepal_width_高'})",frozenset({'petal_width_低'}),0.21333333333333335,0.3333333333333333,0.21333333333333335,1.0,3.0,1.0,0.14222222222222225,inf,0.8474576271186441,0.6400000000000002,1.0,0.8200000000000001
"frozenset({'petal_width_低', 'sepal_width_高'})",frozenset({'petal_length_低'}),0.21333333333333335,0.3333333333333333,0.21333333333333335,1.0,3.0,1.0,0.14222222222222225,inf,0.8474576271186441,0.6400000000000002,1.0,0.8200000000000001
"frozenset({'Iris-setosa', 'sepal_width_高'})",frozenset({'petal_length_低'}),0.21333333333333335,0.3333333333333333,0.21333333333333335,1.0,3.0,1.0,0.14222222222222225,inf,0.8474576271186441,0.6400000000000002,1.0,0.8200000000000001
"frozenset({'petal_length_低', 'sepal_width_高'})",frozenset({'Iris-setosa'}),0.21333333333333335,0.3333333333333333,0.21333333333333335,1.0,3.0,1.0,0.14222222222222225,inf,0.8474576271186441,0.6400000000000002,1.0,0.8200000000000001
"frozenset({'sepal_width_中', 'Iris-setosa', 'petal_length_低'})",frozenset({'sepal_length_低'}),0.10666666666666667,0.3466666666666667,0.10666666666666667,1.0,2.8846153846153846,1.0,0.06968888888888888,inf,0.7313432835820894,0.3076923076923077,1.0,0.6538461538461539
"frozenset({'sepal_length_低', 'petal_length_低', 'sepal_width_中'})",frozenset({'Iris-setosa'}),0.10666666666666667,0.3333333333333333,0.10666666666666667,1.0,3.0,1.0,0.07111111111111112,inf,0.746268656716418,0.32000000000000006,1.0,0.66
"frozenset({'sepal_length_低', 'Iris-setosa', 'sepal_width_中'})",frozenset({'petal_length_低'}),0.10666666666666667,0.3333333333333333,0.10666666666666667,1.0,3.0,1.0,0.07111111111111112,inf,0.746268656716418,0.32000000000000006,1.0,0.66
"frozenset({'sepal_width_中', 'sepal_length_低', 'petal_width_低'})",frozenset({'petal_length_低'}),0.10666666666666667,0.3333333333333333,0.10666666666666667,1.0,3.0,1.0,0.07111111111111112,inf,0.746268656716418,0.32000000000000006,1.0,0.66
"frozenset({'sepal_length_低', 'sepal_width_高'})","frozenset({'Iris-setosa', 'petal_length_低'})",0.18,0.3333333333333333,0.18,1.0,3.0,1.0,0.12,inf,0.8130081300813007,0.54,1.0,0.77
"frozenset({'sepal_width_中', 'petal_width_低'})",frozenset({'Iris-setosa'}),0.10666666666666667,0.3333333333333333,0.10666666666666667,1.0,3.0,1.0,0.07111111111111112,inf,0.746268656716418,0.32000000000000006,1.0,0.66
"frozenset({'sepal_width_中', 'Iris-setosa'})",frozenset({'petal_width_低'}),0.10666666666666667,0.3333333333333333,0.10666666666666667,1.0,3.0,1.0,0.07111111111111112,inf,0.746268656716418,0.32000000000000006,1.0,0.66
"frozenset({'sepal_width_中', 'Iris-setosa', 'petal_length_低', 'sepal_length_低'})",frozenset({'petal_width_低'}),0.10666666666666667,0.3333333333333333,0.10666666666666667,1.0,3.0,1.0,0.07111111111111112,inf,0.746268656716418,0.32000000000000006,1.0,0.66
"frozenset({'sepal_width_中', 'Iris-setosa', 'petal_length_低', 'petal_width_低'})",frozenset({'sepal_length_低'}),0.10666666666666667,0.3466666666666667,0.10666666666666667,1.0,2.8846153846153846,1.0,0.06968888888888888,inf,0.7313432835820894,0.3076923076923077,1.0,0.6538461538461539
"frozenset({'sepal_length_低', 'sepal_width_高'})",frozenset({'petal_width_低'}),0.18,0.3333333333333333,0.18,1.0,3.0,1.0,0.12,inf,0.8130081300813007,0.54,1.0,0.77
"frozenset({'sepal_width_中', 'petal_length_低', 'petal_width_低', 'sepal_length_低'})",frozenset({'Iris-setosa'}),0.10666666666666667,0.3333333333333333,0.10666666666666667,1.0,3.0,1.0,0.07111111111111112,inf,0.746268656716418,0.32000000000000006,1.0,0.66
"frozenset({'sepal_length_低', 'petal_length_低', 'sepal_width_高'})",frozenset({'petal_width_低'}),0.18,0.3333333333333333,0.18,1.0,3.0,1.0,0.12,inf,0.8130081300813007,0.54,1.0,0.77
"frozenset({'sepal_length_低', 'petal_width_低', 'sepal_width_高'})",frozenset({'petal_length_低'}),0.18,0.3333333333333333,0.18,1.0,3.0,1.0,0.12,inf,0.8130081300813007,0.54,1.0,0.77
"frozenset({'sepal_width_中', 'Iris-setosa', 'petal_width_低', 'sepal_length_低'})",frozenset({'petal_length_低'}),0.10666666666666667,0.3333333333333333,0.10666666666666667,1.0,3.0,1.0,0.07111111111111112,inf,0.746268656716418,0.32000000000000006,1.0,0.66
